date,title,url
2011-08-18,"Civil society frustrated at lack of government action",http://timesofindia.indiatimes.com//business/india-business/Civil-society-frustrated-at-lack-of-government-action/articleshow/9643461.cms
2011-06-16,"Complete lack of leadership in Congress, govt: BJP",http://timesofindia.indiatimes.com//india/Complete-lack-of-leadership-in-Congress-govt-BJP/articleshow/8869272.cms
2011-06-16,"'e-services can’t be banned for lack of scrutiny'",http://timesofindia.indiatimes.com//tech/tech-news/e-services-cant-be-banned-for-lack-of-scrutiny/articleshow/8877611.cms
2011-09-14,"Severe lack of facilities in HP tribal areas",http://timesofindia.indiatimes.com//city/chandigarh/Severe-lack-of-facilities-in-HP-tribal-areas/articleshow/9976071.cms
2010-05-15,"Celebs lack sense of humour!",http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/Celebs-lack-sense-of-humour/articleshow/5930676.cms
2010-10-19,"Doctors strike for lack of food",http://timesofindia.indiatimes.com//city/mumbai/Doctors-strike-for-lack-of-food/articleshow/6771384.cms
2011-12-06,"JMC cites lack of funds for non-maintenance of Pink City walls",http://timesofindia.indiatimes.com//city/jaipur/ampnbspampnbspJMC-cites-lack-of-funds-for-non-maintenance-of-Pink-City-walls/articleshow/11000260.cms
2011-06-30,"Co-op societies that lack proper documents may lose registration",http://timesofindia.indiatimes.com//city/noida/Co-op-societies-that-lack-proper-documents-may-lose-registration/articleshow/9044609.cms
2011-11-11,"Haryana faces lack of health infrastructure, doctors",http://timesofindia.indiatimes.com//city/chandigarh/Haryana-faces-lack-of-health-infrastructure-doctors/articleshow/10686607.cms
2011-11-11,"Haryana faces lack of health infrastructure, doctors",http://timesofindia.indiatimes.com//city/chandigarh/Haryana-faces-lack-of-health-infrastructure-doctors/articleshow/10686661.cms
2011-09-26,"Theatre veteran rues lack of young interest in drama",http://timesofindia.indiatimes.com//city/bhubaneswar/Theatre-veteran-rues-lack-of-young-interest-in-drama/articleshow/10124966.cms
2011-06-11,"Parents allege lack of transparency in Plus One admissions in Salem",http://timesofindia.indiatimes.com//city/chennai/Parents-allege-lack-of-transparency-in-Plus-One-admissions-in-Salem/articleshow/8794137.cms
2011-06-11,"Parents allege lack of transparency in Plus One admissions in Salem",http://timesofindia.indiatimes.com//city/chennai/Parents-allege-lack-of-transparency-in-Plus-One-admissions-in-Salem/articleshow/8794148.cms
2011-06-11,"47 ITIs lack basic amenities: Minister",http://timesofindia.indiatimes.com//city/hubballi/47-ITIs-lack-basic-amenities-Minister/articleshow/8817459.cms
2010-02-19,"TTEs bathe on platform to protest lack of amenities",http://timesofindia.indiatimes.com//city/chennai/TTEs-bathe-on-platform-to-protest-lack-of-amenities/articleshow/5590341.cms
2011-07-17,"Bus clusters are yet to take off, officials cite lack of depot space",http://timesofindia.indiatimes.com//city/delhi/Bus-clusters-are-yet-to-take-off-officials-cite-lack-of-depot-space/articleshow/9253599.cms
2011-05-31,"Construction projects hit by lack of sand",http://timesofindia.indiatimes.com//city/chennai/Construction-projects-hit-by-lack-of-sand/articleshow/8654434.cms
2011-05-31,"21 accused in '93 riots let off for lack of evidence",http://timesofindia.indiatimes.com//city/mumbai/21-accused-in-93-riots-let-off-for-lack-of-evidence/articleshow/8654495.cms
2011-12-30,"Govt’s lack of urgency on BDP upsets greens",http://timesofindia.indiatimes.com//city/pune/Govts-lack-of-urgency-on-BDP-upsets-greens/articleshow/11300070.cms
2011-09-15,"'Govt responsible for lack of cremation sites'",http://timesofindia.indiatimes.com//city/goa/Govt-responsible-for-lack-of-cremation-sites/articleshow/9987656.cms
2011-01-16,"Court acquits three Maoists' for lack of evidence",http://timesofindia.indiatimes.com//city/ranchi/Court-acquits-three-Maoists-for-lack-of-evidence/articleshow/7294438.cms
2011-09-30,"Diesel registration rate hiked, lack of clarity leaves last minute buyers hassled",http://timesofindia.indiatimes.com//city/delhi/Diesel-registration-rate-hiked-lack-of-clarity-leaves-last-minute-buyers-hassled/articleshow/10176432.cms
2011-01-25,"State cyber crime cell hit by lack of skilled manpower",http://timesofindia.indiatimes.com//city/chennai/State-cyber-crime-cell-hit-by-lack-of-skilled-manpower/articleshow/7356815.cms
2010-01-25,"Pakistan lack self belief, match winners: Waqar",http://timesofindia.indiatimes.com//interviews/Pakistan-lack-self-belief-match-winners-Waqar/articleshow/5498064.cms
2010-12-05,"Linemen protest lack of recruitment",http://timesofindia.indiatimes.com//city/ludhiana/Linemen-protest-lack-of-recruitment/articleshow/7025940.cms
2010-03-10,"Cager-turned-MD regrets lack of infrastructure",http://timesofindia.indiatimes.com//articleshow/5666505.cms
2010-07-02,"MoS says health ministry babus lack ideas",http://timesofindia.indiatimes.com//india/MoS-says-health-ministry-babus-lack-ideas/articleshow/6117303.cms
2011-10-02,"Nara and Nagsen residents slam NMC for lack of water supply",http://timesofindia.indiatimes.com//city/nagpur/Nara-and-Nagsen-residents-slam-NMC-for-lack-of-water-supply/articleshow/10205159.cms
2011-07-28,"South Goa ZPs gun for govt over lack of funds, powers",http://timesofindia.indiatimes.com//city/goa/South-Goa-ZPs-gun-for-govt-over-lack-of-funds-powers/articleshow/9388956.cms
2011-10-20,"Experts rue lack of scientific members on Lonar panel",http://timesofindia.indiatimes.com//city/pune/Experts-rue-lack-of-scientific-members-on-Lonar-panel/articleshow/10421354.cms
2011-08-02,"Dhoni blames it on cramped schedule, lack of rest",http://timesofindia.indiatimes.com//series-tournament/india-in-england/top-stories/Dhoni-blames-it-on-cramped-schedule-lack-of-rest/articleshow/9452165.cms
2011-08-02,"Warne criticises Dhoni, says youngsters lack fighting spirit",http://timesofindia.indiatimes.com//series-tournament/india-in-england/top-stories/Warne-criticises-Dhoni-says-youngsters-lack-fighting-spirit/articleshow/9456347.cms
2010-11-21,"Bomb disposal squads lack proper training",http://timesofindia.indiatimes.com//city/patna/Bomb-disposal-squads-lack-proper-training/articleshow/6964836.cms
2011-07-29,"Bright students quit Presi for lack of exposure",http://timesofindia.indiatimes.com//city/kolkata/Bright-students-quit-Presi-for-lack-of-exposure/articleshow/9401773.cms
2010-07-04,"Parking offences on rise, lack of space to blame",http://timesofindia.indiatimes.com//city/chandigarh/Parking-offences-on-rise-lack-of-space-to-blame/articleshow/6125910.cms
2010-12-21,"India loses Rs 24,000cr annually due to lack of toilets, hygiene: World Bank",http://timesofindia.indiatimes.com//india/India-loses-Rs-24000cr-annually-due-to-lack-of-toilets-hygiene-World-Bank/articleshow/7135478.cms
2010-12-21,"MTC services affected due to lack of adequate no of drivers",http://timesofindia.indiatimes.com//city/chennai/MTC-services-affected-due-to-lack-of-adequate-no-of-drivers/articleshow/7135920.cms
2010-07-10,"Frail men may lack testosterone",http://timesofindia.indiatimes.com//life-style/health-fitness/health/Frail-men-may-lack-testosterone/articleshow/6151526.cms
2010-06-14,"Do cops lack the acumen to fight back new-age criminals armed with latest technology?",http://timesofindia.indiatimes.com//speak-out/Do-cops-lack-the-acumen-to-fight-back-new-age-criminals-armed-with-latest-technology/articleshow/6045664.cms
2010-06-14,"Is lack of awareness of their duties making residents violate law?",http://timesofindia.indiatimes.com//speak-out/-Is-lack-of-awareness-of-their-duties-making-residents-violate-law/articleshow/6045673.cms
2011-07-08,"Eight acquitted in Kandhamal riot case for lack of evidence",http://timesofindia.indiatimes.com//india/Eight-acquitted-in-Kandhamal-riot-case-for-lack-of-evidence/articleshow/9149713.cms
2011-04-25,"Mansarovar incident highlights lack of proper women's hostels",http://timesofindia.indiatimes.com//city/jaipur/Mansarovar-incident-highlights-lack-of-proper-womens-hostels/articleshow/8075882.cms
2011-04-25,"Classical maestro concerned over lack of music education",http://timesofindia.indiatimes.com//india/Classical-maestro-concerned-over-lack-of-music-education/articleshow/8077172.cms
2011-04-25,"Cong protests against lack of civic amenities",http://timesofindia.indiatimes.com//city/allahabad/Cong-protests-against-lack-of-civic-amenities/articleshow/8084706.cms
2011-12-22,"Fast food, lack of space hit city kids hard",http://timesofindia.indiatimes.com//city/mumbai/Fast-food-lack-of-space-hit-city-kids-hard/articleshow/11201504.cms
2010-10-04,"Swimmer Khade laments lack of resources in India",http://timesofindia.indiatimes.com//india-news/Swimmer-Khade-laments-lack-of-resources-in-India/articleshow/6684828.cms
2011-02-24,"Agatha regrets lack of scope for NE youngsters",http://timesofindia.indiatimes.com//city/guwahati/Agatha-regrets-lack-of-scope-for-NE-youngsters/articleshow/7565921.cms
2010-03-17,"Current pole vaulters lack technique: Sergey Bubka",http://timesofindia.indiatimes.com//sports/more-sports/athletics/Current-pole-vaulters-lack-technique-Sergey-Bubka/articleshow/5693649.cms
2011-11-08,"Vengsarkar, Gaekwad bemoan lack of bounce at Kotla",http://timesofindia.indiatimes.com//series-tournament/west-indies-in-india/top-stories/Vengsarkar-Gaekwad-bemoan-lack-of-bounce-at-Kotla/articleshow/10647587.cms
2011-11-08,"Delhi University: DU, colleges cry lack of staff",http://timesofindia.indiatimes.com//city/delhi/Delhi-University-DU-colleges-cry-lack-of-staff/articleshow/10648016.cms
2010-12-26,"Marine police lack basic facilities",http://timesofindia.indiatimes.com//city/hyderabad/Marine-police-lack-basic-facilities/articleshow/7169339.cms
2011-07-23,"Tax meet exposes lack of coordination among officers",http://timesofindia.indiatimes.com//india/Tax-meet-exposes-lack-of-coordination-among-officers/articleshow/9330256.cms
2011-07-10,"Horsewallas rue lack of rain shelters for horses on Shimla Ridge",http://timesofindia.indiatimes.com//india/Horsewallas-rue-lack-of-rain-shelters-for-horses-on-Shimla-Ridge/articleshow/9168972.cms
2010-07-17,"Akram blames Pakistan's flopshow in England on lack of experience",http://timesofindia.indiatimes.com//top-stories/Akram-blames-Pakistans-flopshow-in-England-on-lack-of-experience/articleshow/6180826.cms
2010-07-21,"Over 300 ZP schools lack water tanks, pipelines",http://timesofindia.indiatimes.com//city/pune/Over-300-ZP-schools-lack-water-tanks-pipelines/articleshow/6198139.cms
2010-08-13,"Classrooms lack diversity this year",http://timesofindia.indiatimes.com//city/mumbai/Classrooms-lack-diversity-this-year/articleshow/6302766.cms
2011-02-16,"Protest against lack of facilities for students",http://timesofindia.indiatimes.com//city/guwahati/Protest-against-lack-of-facilities-for-students/articleshow/7504978.cms
2011-12-23,"Aussies lack technique: Rod Marsh",http://timesofindia.indiatimes.com//series-tournament/india-in-australia/interviews/Aussies-lack-technique-Rod-Marsh/articleshow/11217293.cms
2010-10-10,"Vadis make up for lack of veggies",http://timesofindia.indiatimes.com//home/sunday-times/deep-focus/Vadis-make-up-for-lack-of-veggies/articleshow/6721347.cms
2011-05-13,"DMRC officials seem to lack supervision",http://timesofindia.indiatimes.com//city/jaipur/DMRC-officials-seem-to-lack-supervision/articleshow/8279471.cms
